City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
206,kavaratti,0,IN,1554437830,100,10.57,72.64,83.66,3.38
207,dikson,64,RU,1554437697,100,73.51,80.55,18.5,9.31
208,aitape,24,PG,1554438214,100,-3.15,142.36,80.87,5.5
209,greymouth,92,NZ,1554438214,91,-42.45,171.21,57.83,15.57
210,tabou,80,CI,1554438215,100,4.42,-7.36,80.69,12.77
211,college,40,US,1554437646,36,64.86,-147.8,35.6,17.22
212,ornskoldsvik,0,SE,1554434400,68,63.29,18.72,30.2,6.93
213,san patricio,92,PY,1554437707,97,-26.98,-56.83,70.25,7.4
214,tigil,48,RU,1554438216,87,57.8,158.67,36.95,15.23
215,coihaique,75,CL,1554433200,66,-45.58,-72.07,50.0,4.7
216,caala,12,AO,1554438216,95,-12.85,15.56,57.56,1.7
217,kalakamati,0,BW,1554436800,72,-20.59,27.31,59.0,4.7
218,fortuna,90,ES,1554437716,81,38.18,-1.13,55.0,4.7
219,gubakha,0,RU,1554438217,62,58.84,57.56,15.71,2.71
220,port hardy,40,CA,1554436800,66,50.7,-127.42,51.8,8.05
221,esperance,20,TT,1554437407,78,10.24,-61.45,77.0,6.96
222,provideniya,0,RU,1554435000,58,64.42,-173.23,28.4,20.13
223,santa cruz de tenerife,40,ES,1554438148,72,28.47,-16.25,62.01,4.7
224,palmer,0,AU,1554438074,25,-34.85,139.16,91.99,23.04
225,saldanha,88,PT,1554437705,97,41.42,-6.55,40.73,9.75
226,coahuayana,20,MX,1554438219,54,18.62,-100.35,68.81,2.26
227,constitucion,40,MX,1554432240,18,23.99,-104.67,68.0,18.34
228,srostki,32,RU,1554438219,91,52.42,85.7,46.13,4.16
229,poum,68,MK,1554438219,78,41.28,20.71,39.2,2.26
230,shuangyang,0,CN,1554438220,78,25.0,118.61,73.58,3.15
231,roald,0,NO,1554438004,80,62.58,6.12,41.0,6.93
232,prince rupert,90,CA,1554436620,81,54.32,-130.32,46.4,8.05
233,saint george,75,GR,1554437609,81,39.45,22.34,52.0,2.37
234,bambous virieux,40,MU,1554437642,94,-20.34,57.76,81.0,4.7
235,leshukonskoye,88,RU,1554438221,80,64.9,45.76,33.35,5.95
236,morondava,68,MG,1554437824,100,-20.3,44.28,74.12,3.49
237,hanna,32,CA,1554437944,77,51.64,-111.93,35.01,5.01
238,ust-maya,68,RU,1554438222,61,60.42,134.54,34.07,3.71
239,carutapera,92,BR,1554438222,94,-1.2,-46.02,76.64,3.71
240,cidreira,92,BR,1554437717,100,-30.17,-50.22,71.24,9.98
241,boyabat,75,TR,1554436200,76,41.47,34.77,48.2,11.41
242,madhubani,0,IN,1554438179,50,26.36,86.07,82.13,16.69
243,curaca,80,BR,1554438223,98,-8.99,-39.91,71.6,3.04
244,wajir,40,KE,1554436800,74,1.75,40.07,80.6,8.05
245,san carlos de bariloche,0,AR,1554433200,81,-41.13,-71.31,42.8,8.05
246,kinsale,0,IE,1554435000,100,51.71,-8.52,32.0,4.7
247,vardo,1,US,1554437732,53,39.62,-77.74,53.6,4.7
248,san borja,80,BO,1554438225,94,-14.86,-66.75,73.4,1.36
249,hokitika,92,NZ,1554438225,91,-42.72,170.96,57.83,15.57
250,pangody,76,RU,1554437709,94,65.85,74.49,29.21,15.01
